Name	Current price	Original price	Link	Rating	Rate Count
Tay cầm chơi game Razer Wolverine V2	2.490.000 VND	3.200.000 VND	https://memoryzone.com.vn/tay-cam-choi-game-razer-wolverine-v2	0	0
Tai Nghe Bluetooth Razer Kraken Kitty V2 BT Edition RGB RZ04-04860100-R3M1	2.490.000 VND	2.590.000 VND	https://memoryzone.com.vn/tai-nghe-bluetooth-razer-kraken-kitty-v2-bt-edition-rgb-rz04-04860100-r3m1	0	0
Tay cầm điện thoại Razer Kishi V2 USB-C Gaming Controller for iPhone and Android RZ06-05110100-R3M1	2.590.000 VND	2.990.000 VND	https://memoryzone.com.vn/tay-cam-dien-thoai-razer-kishi-v2-usb-c-gaming-controller-for-iphone-and-android-rz06-05110100-r3m1	0	0
Loa Alpha Works W88 AW-W88	2.590.000 VND	2.990.000 VND	https://memoryzone.com.vn/loa-alpha-works-w88-aw-w88	0	0
Loa JBL Flip 6	2.590.000 VND	2.990.000 VND	https://memoryzone.com.vn/loa-jbl-flip-6	0	0
Chuột Gaming không dây Razer Viper V2 Pro	2.690.000 VND	3.490.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-razer-viper-v2-pro	5	1
Chuột không dây Gaming Logitech G Pro X Superlight	2.690.000 VND	3.450.000 VND	https://memoryzone.com.vn/chuot-khong-day-gaming-logitech-g-pro-x-superlight	5	16
Chuột Gaming không dây Razer Cobra Pro	2.790.000 VND	3.390.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-razer-cobra-pro-rz01-04660100-r3a1	0	0
Bàn phím cơ Razer BlackWidow V4 X RGB Razer Switch Green/ Yellow	2.950.000 VND	3.590.000 VND	https://memoryzone.com.vn/ban-phim-co-razer-blackwidow-v4-x-rgb-razer-switch-green-yellow	0	0
Tai Nghe Gaming không dây Corsair HS65 Wireless	2.990.000 VND	3.490.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-khong-day-corsair-hs65-wireless	0	0
Tai Nghe Gaming không dây Corsair Virtuoso RGB 7.1 Surround	2.990.000 VND	4.990.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-khong-day-corsair-virtuoso-rgb-7-1-surround	5	1
Chuột Gaming không dây Razer DeathAdder V3 Pro	3.050.000 VND	3.990.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-razer-deathadder-v3-pro	0	0
Chuột gaming không dây Logitech G502 X Plus Black HERO LIGHTSPEED 910-006164	3.090.000 VND	3.890.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-logitech-g502-x-plus-black-hero-lightspeed-910-006164	0	0
Chuột Gaming không dây Logitech G Pro X Superlight 2	3.145.000 VND	3.890.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-logitech-g-pro-x-superlight-2	0	0
